,title,published,date,author_corresponding_institution,journal,citation_count
58,Acidic pH is a Metabolic Switch for 2‐Hydroxyglutarate Generation and Signaling,10.1074/jbc.M116.738799,2016-05-03,University of Rochester Medical Center,['J. Biol. Chem.'],59
59,Acidic pH is a Metabolic Switch for 2‐Hydroxyglutarate Generation and Signaling,10.1074/jbc.M116.738799,2016-07-22,University of Rochester Medical Center,['J. Biol. Chem.'],59
64,Blind testing cross-linking/mass spectrometry under the auspices of the 11th critical assessment of methods of protein structure prediction (CASP11),10.12688/wellcomeopenres.10046.1,2016-05-13,University of Edinburgh,['Wellcome Open Res'],11
65,"Glu-370 in the Large Subunit Influences the Substrate Binding, Allosteric, and Heat Stability Properties of Potato ADP-glucose Pyrophosphorylase",10.1016/j.plantsci.2016.07.007,2016-05-18,Koc University,['Plant Science'],0
66,Quantitative cross-linking/mass spectrometry reveals subtle protein conformational changes,10.12688/wellcomeopenres.9896.1,2016-05-25,University of Edinburgh,['Wellcome Open Res'],16
67,Specificity Principles in RNA-Guided Targeting,10.1016/j.cels.2016.12.010,2016-05-28,Stanford University,['Cell Systems'],33
68,Quantitative cross-linking/mass spectrometry using isotope-labeled cross-linkers and MaxQuant,10.1074/mcp.M115.056481,2016-05-30,University of Edinburgh,['Mol Cell Proteomics'],19
69,Structure of complement C3(H2O) revealed by quantitative cross-linking/mass spectrometry and modeling,10.1074/mcp.M115.056473,2016-06-01,University of Edinburgh,['Mol Cell Proteomics'],35
70,High-throughput biochemical profiling reveals Cas9 off-target binding and unbinding heterogeneity,10.1073/pnas.1700557114,2016-06-19,Stanford University,['Proc Natl Acad Sci USA'],77
71,Ubiquitin-mediated proteolysis in Xenopus extract,10.1387/ijdb.160186gm,2016-07-06,Future of Research,['Int. J. Dev. Biol.'],4
72,Antiparallel protocadherin homodimers use distinct affinity- and specificity mediating regions in cadherin repeats 1-4,10.7554/eLife.18449,2016-07-12,Harvard University,[],24
73,Structural characterization of encapsulated ferritin provides insight into iron storage in bacterial nanocompartments,10.7554/eLife.18972,2016-07-13,Newcastle University,[],19
76,Architectures of a lipid transport systems for the bacterial outer membrane,10.1016/j.cell.2017.03.019,2016-07-18,"The University of California, San Francisco",['Cell'],61
77,Architectures of a lipid transport systems for the bacterial outer membrane,10.1016/j.cell.2017.03.019,2016-10-01,"The University of California, San Francisco",['Cell'],61
78,The Origin of Coupled Chloride and Proton Transport in a Cl-/H+ Antiporter,10.1021/jacs.6b06683,2016-07-18,University of Chicago,['J. Am. Chem. Soc.'],16
80,Beyond the myosin mesa: a potential unifying hypothesis on the underlying molecular basis of hyper-contractility caused by a majority of hypertrophic cardiomyopathy mutations,10.1038/nsmb.3408,2016-07-24,Stanford University School of Medicine,['Nat Struct Mol Biol'],56
82,In vivo mapping of tissue- and subcellular-specific proteomes in Caenorhabditis elegans,10.1126/sciadv.1602426,2016-07-27,UCSD,['Sci. Adv.'],18
83,On the estimation errors of KM and V from time-course experiments using the Michaelis-Menten equation,10.1016/j.bpc.2016.09.004,2016-08-05,University of Michigan Medical School,['Biophysical Chemistry'],19
84,On the estimation errors of KM and V from time-course experiments using the Michaelis-Menten equation,10.1016/j.bpc.2016.09.004,2016-09-06,University of Michigan Medical School,['Biophysical Chemistry'],19
85,How the AFF1/4 scaffold recruits the elongation factor ELL2 to promote HIV-1 proviral transcription,10.1038/ncomms14076,2016-08-06,UC Berkeley,['Nat Commun'],13
86,Multiple binding modes of ibuprofen in human serum albumin identified by absolute binding free energy calculations,10.1039/C6CP05680F,2016-08-08,University of Calabria,['Phys. Chem. Chem. Phys.'],34
88,Biotinylation by antibody recognition - A novel method for proximity labeling,10.1038/nmeth.4533,2016-08-11,National Human Genome Research Institute,['Nat Methods'],25
90,Molecular mechanisms of substrate-controlled ring dynamics and sub-stepping in a nucleic-acid dependent hexameric motor,10.1073/pnas.1616745113,2016-08-16,"Department of Biophysics and Biophysical Chemistry, Johns Hopkins School of Medicine, Baltimore, MD",['Proc Natl Acad Sci USA'],20
91,Ligand-induced and small molecule control of substrate loading in a hexameric helicase,10.1073/pnas.1616749113,2016-08-16,"Department of Biophysics and Biophysical Chemistry, Johns Hopkins School of Medicine, Baltimore, MD",['Proc Natl Acad Sci USA'],17
92,Oxidative DNA damage is epigenetic by regulating gene transcription via base excision repair,10.1073/pnas.1619809114,2016-08-17,University of Utah,['Proc Natl Acad Sci USA'],107
93,FICD acts bi-functionally to AMPylate and de-AMPylate the endoplasmic reticulum chaperone BiP,10.1038/nsmb.3337,2016-08-24,"University of Cambridge, Cambridge Institute for Medical Research",['Nat Struct Mol Biol'],29
94,Molecular basis of outer kinetochore assembly on CENP-T,10.7554/eLife.21007,2016-08-25,Max Planck Institute of Molecular Physiology,[],42
96,eIF3 plays distinct roles at the mRNA entry and exit channels of the ribosomal preinitiation complex,10.7554/eLife.20934,2016-09-01,NICHD/National Institutes of Health,[],23
97,eIF3 plays distinct roles at the mRNA entry and exit channels of the ribosomal preinitiation complex,10.7554/eLife.20934,2016-09-01,NICHD/National Institutes of Health,[],23
101,A bromodomain-DNA interaction facilitates acetylation-dependent bivalent nucleosome recognition by the BET protein BRDT,10.1038/ncomms13855,2016-09-12,European Molecular Biology Laboratory (EMBL),['Nat Commun'],37
102,"Multi-laboratory assessment of reproducibility, qualitative and quantitative performance of SWATH-mass spectrometry",10.1038/s41467-017-00249-5,2016-09-14,ETH Zurich,['Nat Commun'],129
103,Proper modelling of ligand binding requires an ensemble of bound and unbound states,10.1107/S2059798317003412,2016-09-28,University of Oxford,"['Acta Cryst Sect D Struct Biol', 'Acta Crystallogr D Struct Biol', 'Acta Cryst D Struct Biol', 'Acta Cryst D Biol Cryst', 'Acta Cryst D', 'Acta Crystallogr Sect D', 'Acta Crystallogr D Biol Crystallogr', 'Acta Cryst Sect D', 'Acta Crystallogr D', 'Acta Crystallogr Sect D Struct Biol']",11
104,SCFSlmb recognizes a conserved degron within the survival motor neuron (SMN) self-interaction domain to mediate ubiquitylation of SMN and SMNΔ7 isoforms,10.1091/mbc.E17-11-0627,2016-09-30,University of North Carolina,['MBoC'],12
105,Crystal structure and RNA-binding properties of an Hfq homolog from the deep-branching Aquificae: Conservation of the lateral RNA-binding mode,10.1107/S2059798317000031,2016-10-01,University of Virginia,"['Acta Cryst Sect D Struct Biol', 'Acta Crystallogr D Struct Biol', 'Acta Cryst D Struct Biol', 'Acta Cryst D Biol Cryst', 'Acta Cryst D', 'Acta Crystallogr Sect D', 'Acta Crystallogr D Biol Crystallogr', 'Acta Cryst Sect D', 'Acta Crystallogr D', 'Acta Crystallogr Sect D Struct Biol']",11
106,The Chd1 chromatin remodeler shifts hexasomes unidirectionally,10.7554/eLife.21356,2016-10-09,Johns Hopkins University,[],26
107,The large terminase DNA packaging motor grips DNA with its ATPase domain for cleavage by the flexible nuclease domain,10.1093/nar/gkw1356,2016-10-17,University of Massachusetts Medical School,['Nucleic Acids Res'],5
108,The large terminase DNA packaging motor grips DNA with its ATPase domain for cleavage by the flexible nuclease domain,10.1093/nar/gkw1356,2016-10-19,University of Massachusetts Medical School,['Nucleic Acids Res'],5
109,A novel mechanism of “metal gel-shift” by histidine-rich Ni2+-binding Hpn protein from Helicobacter pylori strain SS1,10.1371/journal.pone.0172182,2016-10-20,"Proteo-Science Center, Ehime University, Matsuyama, 7908577, Japan",['PLoS ONE'],2
110,p53 dynamically directs TFIID assembly on target gene promoters,10.1128/MCB.00085-17,2016-10-24,Albert Einstein College of Medicine,['Mol Cell Biol'],6
111,Multiple binding modes of ibuprofen in human serum albumin identified by absolute binding free energy calculations,10.1039/C6CP05680F,2016-10-25,University of Calabria,['Phys. Chem. Chem. Phys.'],34
112,Extremely fast and incredibly close: co-transcriptional splicing in budding yeast,10.1261/rna.060830.117,2016-10-25,University of Edinburgh,['RNA'],15
113,Experimental and Computational Investigation of the Structure of Peptide Monolayers on Gold Nanoparticles,10.1021/acs.langmuir.6b04383,2016-10-25,University of Liverpool,['Langmuir'],10
115,Structural and Functional analysis of the GABARAP Interaction Motif (GIM).,10.15252/embr.201643587,2016-10-28,University of Dundee,['EMBO Rep'],58
116,A modified FASP protocol for high-throughput preparation of protein samples for mass spectrometry,10.1371/journal.pone.0175967,2016-10-31,QIMR Berghofer MRI,['PLoS ONE'],13
120,Extremely fast and incredibly close: co-transcriptional splicing in budding yeast,10.1261/rna.060830.117,2016-11-06,University of Edinburgh,['RNA'],15
121,Odorant cues linked to social immunity induce lateralized antenna stimulation in honey bees (Apis mellifera L.),10.1038/srep46171,2016-11-07,University of British Columbia,['Sci Rep'],6
122,T cell co-stimulatory receptor CD28 is a primary target for PD-1-mediated inhibition,10.1126/science.aaf1292,2016-11-09,"HHMI, University of California San Francisco",['Science'],355
123,Odorant cues linked to social immunity induce lateralized antenna stimulation in honey bees (Apis mellifera L.),10.1038/srep46171,2016-11-10,University of British Columbia,['Sci Rep'],6
125,Odorant cues linked to social immunity induce lateralized antenna stimulation in honey bees (Apis mellifera L.),10.1038/srep46171,2016-11-15,University of British Columbia,['Sci Rep'],6
127,Simulations of CYP51A from Aspergillus fumigatus in a model bilayer provide insights into triazole drug resistance,10.1093/mmy/myx056,2016-11-17,Imperial College London,[],3
128,Conformational landscape of the p28-bound human proteasome regulatory particle,10.1016/j.molcel.2017.06.007,2016-11-19,"Peking University, Harvard Medical School",['Molecular Cell'],15
129,Cooperative Binding Mitigates the High-Dose HookEffect,10.1186/s12918-017-0447-8,2016-11-22,"Centre for Integrative Physiology, University of Edinburgh, United Kingdom",['BMC Syst Biol'],11
130,Towards new cholera prophylactics and treatment: Crystal structures of bacterial enterotoxins in complex with GM1 mimics,10.1038/s41598-017-02179-0,2016-11-25,University of Oslo,['Sci Rep'],5
134,Evaluation of quantum dot conjugated antibodies for immunofluorescent labelling of cellular targets,10.3762/bjnano.8.125,2016-11-29,University of Liverpool,['Beilstein J. Nanotechnol.'],11
135,Mechanism of ribosome rescue by ArfA and RF2,10.7554/eLife.23687,2016-12-02,"University of Massachusetts Medical School, RNA Therapeutics Institute",[],23
136,Cushing’s Syndrome mutant PKAL205R exhibits altered substrate specificity,10.1002/1873-3468.12562,2016-12-05,University of Connecticut,['FEBS Lett'],7
142,Genetic variation and RNA structure regulate microRNA biogenesis,10.1038/ncomms15114,2016-12-12,MRC Human Genetics Unit. MRC IGMM. University of Edinburgh,['Nat Commun'],27
143,Vitrification after multiple rounds of sample application and blotting improves particle density on cryo-electron microscopy grids.,10.1016/j.jsb.2017.02.008,2016-12-15,University of Washington,['Journal of Structural Biology'],24
144,Cryo-EM structure of the ATP-sensitive potassium channel illuminates mechanisms of assembly and gating,10.7554/eLife.24149,2016-12-16,Oregon Health & Science University,[],81
145,Familial Mutations and Post-translational Modifications of UCH-L1 in Parkinson’s Disease and Neurodegenerative Disorders,10.2174/1389203717666160217143721,2016-12-17,Academia Sinica,['CPPS'],8
146,In culture cross-linking of bacterial cells reveals proteome scale dynamic protein-protein interactions at peptide level,10.1021/acs.jproteome.7b00068,2016-12-17,Swammerdam Institute for Life Sciences University of Amsterdam,['J. Proteome Res.'],15
148,Fenton-type chemistry by a copper enzyme: molecular mechanism of polysaccharide oxidative cleavage,10.1038/nchembio.2470,2016-12-27,"Norwegian University of Life Sciences (NMBU), P.O. Box 5003, N-1432 Aas, Norway",['Nat Chem Biol'],119
149,HILAQ: A Novel Strategy for Newly Synthesized Protein Quantification,10.1021/acs.jproteome.7b00005,2016-12-28,The Scripps Research Institute,['J. Proteome Res.'],14
151,In vitro assembly of the Rous Sarcoma Virus capsid protein into hexamer tubes under physiological conditions.,10.1038/s41598-017-02060-0,2017-01-09,University of Auckland,['Sci Rep'],4
152,MmpL3 is the flippase for mycolic acids in mycobacteria,10.1073/pnas.1700062114,2017-01-10,National University of Singapore,['Proc Natl Acad Sci USA'],60
155,Internal modifications in the CENP-A nucleosome modulate centromeric dynamics,10.1186/s13072-017-0124-6,2017-01-17,NIH,['Epigenetics & Chromatin'],16
156,Emergence of localized patterns in globally coupled networks of relaxation oscillators with heterogeneous connectivity,10.1103/PhysRevE.96.022303,2017-01-17,New Jersey Institute of Technology,['Phys. Rev. E'],1
157,Structural and functional dissection of the interplay between lipid and Notch binding by human Notch ligands,10.15252/embj.201796632,2017-01-18,University of Oxford,['EMBO J'],9
159,Proteogenomics of adenosine-to-inosine RNA editing in fruit fly,10.1021/acs.jproteome.8b00553,2017-01-22,"Institute of Biomedical Chemistry, Moscow, Russia",['J. Proteome Res.'],3
160,Structure of the Full-length VEGFR-1 Extracellular Domain in Complex with VEGF-A,10.1016/j.str.2016.12.012,2017-01-24,Paul Scherrer Institute,['Structure'],25
162,Remodeling Pathway Control of Oxidative Phosphorylation by Temperature in the Heart,10.1038/s41598-017-02789-8,2017-01-26,Medical University Innsbruck,['Sci Rep'],23
163,Proteogenomics of adenosine-to-inosine RNA editing in fruit fly,10.1021/acs.jproteome.8b00553,2017-01-30,"Institute of Biomedical Chemistry, Moscow, Russia",['J. Proteome Res.'],3
165,The Dense-Core Vesicle Maturation Protein CCCP-1 Binds both RAB-2 and Membranes through a Conserved C-terminal Coiled-coil Domain,10.1111/tra.12507,2017-02-03,University of Washington,['Traffic'],7
166,Structure of a AAA+ unfoldase in the process of unfolding substrate,10.7554/eLife.25754,2017-02-04,"The Hospital for SIck Children, The University of Toronto",[],75
167,In culture cross-linking of bacterial cells reveals proteome scale dynamic protein-protein interactions at the peptide level,10.1021/acs.jproteome.7b00068,2017-02-07,Swammerdam Institute for Life Sciences University of Amsterdam,['J. Proteome Res.'],15
168,Versatile Multicolor Nanodiamond Probes for Intracellular Imaging and Targeted Labeling,10.1039/c8tb00508g,2017-02-15,"University of Technology, Sydney",['J. Mater. Chem. B'],4
169,Translation efficiency is maintained at elevated temperature in E. coli,10.1074/jbc.RA117.000284,2017-02-16,The Scripps Research Institute,['J. Biol. Chem.'],9
170,Atomic resolution structure of serine protease proteinase K at ambient temperature,10.1038/srep45604,2017-02-21,RIKEN SPring-8 Center,['Sci Rep'],10
171,PGC-1α coordinates with Bcl-2 to control cell cycle in U251 cells through reducing ROS,10.1631/jzus.B1700148,2017-02-24,Yunnan University,['J. Zhejiang Univ. Sci. B'],2
172,p53 dynamically directs TFIID assembly on target gene promoters,10.1128/MCB.00085-17,2017-02-24,Albert Einstein College of Medicine,['Mol Cell Biol'],6
173,Releasing potential power of terpene synthases by a robust precursor supply platform,10.1016/j.ymben.2017.04.006,2017-02-25,Wuhan University,['Metabolic Engineering'],39
174,Understanding inhibitor resistance in Mps1 kinase through novel biophysical assays and structures,10.1074/jbc.M117.783555,2017-02-27,Netherlands Cancer Institute,['J. Biol. Chem.'],12
175,The stoichiometric signature of Rhodopsin-family G protein coupled receptors,10.1016/j.celrep.2017.08.072,2017-03-02,University of Oxford,['Cell Reports'],18
176,Structural characterization of human Vaccinia-Related Kinases (VRK) bound to small-molecule inhibitors identifies different P-loop conformations,10.1038/s41598-017-07755-y,2017-03-02,"Structural Genomics Consortium, Universidade Estadual de Campinas; UNICAMP, Campinas, SP, Brazil",['Sci Rep'],5
177,Recombinant expression in E. coli of human FGFR2 with its transmembrane and extracellular domains,10.7717/peerj.3512,2017-03-02,University of Hawaii,[],1
180,Structural basis for EarP-mediated arginine glycosylation of translation elongation factor EF-P,10.1128/mBio.01412-17,2017-03-11,LMU Munich / Dept. of Biology I,['mBio'],5
182,Structural basis for EarP-mediated arginine glycosylation of translation elongation factor EF-P,10.1128/mBio.01412-17,2017-03-13,LMU Munich / Dept. of Biology I,['mBio'],5
183,Pyroxasulfone Resistance in Lolium rigidum Conferred by Enhanced Metabolic Capacity,10.1016/j.pestbp.2018.03.017,2017-03-13,The University of Western Australia,['Pesticide Biochemistry and Physiology'],13
186,SCFSlmb recognizes a conserved degron within the survival motor neuron (SMN) self-interaction domain to mediate ubiquitylation of SMN and SMNΔ7 isoforms,10.1091/mbc.E17-11-0627,2017-03-14,University of North Carolina,['MBoC'],12
189,"Catalytic properties of RNA polymerases IV and V: accuracy, nucleotide incorporation and rNTP/dNTP discrimination",10.1093/nar/gkx794,2017-03-15,Indiana University,[],6
190,Early Candidate Biomarkers Found From Urine Of Astrocytoma Rat Before Changes In MRI,10.1007/s11427-017-9201-0,2017-03-16,"Dept. of Biochemistry and Molecular Biology, Beijing Normal University",['Sci. China Life Sci.'],15
192,A library of structurally homogeneous human N-glycans synthesized from microbial oligosaccharide precursors,10.1038/s41598-017-15891-8,2017-03-18,Cornell University,['Sci Rep'],4
194,Resveratrol Induces Mitochondrial Dysfunction And Decreases Chronological Life Span Of Saccharomyces cerevisiae In A Glucose-Dependent Manner,10.1007/s10863-017-9709-9,2017-03-19,Instituo Tecnologico Superior de Ciudad Hidalgo,['J Bioenerg Biomembr'],5
195,Structural insights into the light-driven auto-assembly process of the water-oxidizing Mn4CaO5-cluster in photosystem II,10.7554/eLife.26933,2017-03-20,Humboldt-Universität zu Berlin,[],24
196,"Thermal Decomposition Of The Amino Acids Glycine, Cysteine, Aspartic Acid, Asparagine, Glutamic Acid, Glutamine, Arginine And Histidine",10.1186/s13628-018-0042-4,2017-03-22,University of Stuttgart,['BMC Biophys'],41
197,Towards Water-Free Biobanks: Long-Term Dry-Preservation At Room Temperature Of Desiccation-Sensitive Enzyme Luciferase In Air-Dried Insect Cells,10.1038/s41598-017-06945-y,2017-03-24,Tokyo University of Agriculture and Technology,['Sci Rep'],2
198,"Post-translational thioamidation of methyl-coenzyme M reductase, a key enzyme in methanogenic and methanotrophic Archaea",10.7554/eLife.29218,2017-03-27,University of Illinois at Urbana Champaign,[],35
199,Biosynthesis of Isonitrile Lipopeptides by Conserved Non-ribosomal Peptide Synthetase Gene Clusters in Actinobacteria,10.1073/pnas.1705016114,2017-03-27,"University of California, Berkeley",['Proc Natl Acad Sci USA'],31
200,Disease-Associated Mutations In Human BICD2 Hyperactivate Motility Of Dynein-Dynactin,10.1083/jcb.201703201,2017-03-28,University of California San Francisco,[],23
202,Production and purification of human Hsp90β in Escherichia coli,10.1371/journal.pone.0180047,2017-03-30,Utrecht University,['PLoS ONE'],1
203,Production and purification of human Hsp90β in Escherichia coli,10.1371/journal.pone.0180047,2017-03-30,Utrecht University,['PLoS ONE'],1
204,The C-Terminal Domain Of ParB Is Critical For Dynamic DNA Binding And Bridging Interactions Which Condense The Bacterial Centromere,10.7554/elife.28086,2017-04-01,University of Bristol,[],17
205,Characterisation Of The Biflavonoid Hinokiflavone As A Pre-mRNA Splicing Modulator That Inhibits SENP,10.7554/eLife.27402,2017-04-01,"University of Dundee, School of Life Sciences, Centre for Gene Regulation and Expression",[],7
206,Sec17 (α-SNAP) And An SM-Tethering Complex Control The Outcome Of SNARE Zippering In Vitro And In Vivo,10.7554/eLife.27396,2017-04-01,University of Washington,[],15
207,Early Candidate Biomarkers Found From Urine Of Astrocytoma Rat Before Changes In MRI,10.1007/s11427-017-9201-0,2017-04-01,"Dept. of Biochemistry and Molecular Biology, Beijing Normal University",['Sci. China Life Sci.'],15
208,A Chiral Selectivity Relaxed Paralog Of DTD For Proofreading tRNA Mischarging In Animalia,10.1038/s41467-017-02204-w,2017-04-04,CCMB,['Nat Commun'],11
209,Differential Effects of LIS1 On Processive Dynein-Dynactin Motility,10.1074/jbc.M117.790048,2017-04-04,University of California - Davis,['J. Biol. Chem.'],31
210,Self-oligomerization regulates stability of Survival Motor Neuron (SMN) proteins by sequestering an SCFSlmb degron,10.1091/mbc.E17-11-0627,2017-04-06,University of North Carolina,['MBoC'],12
211,Differential Effects of LIS1 On Processive Dynein-Dynactin Motility,10.1074/jbc.M117.790048,2017-04-06,University of California - Davis,['J. Biol. Chem.'],31
212,Covalent Protein Labeling By SpyTag-SpyCatcher In Fixed Cells For Super-Resolution Microscopy,10.1002/cbic.201700177,2017-04-06,"University of California, San Francisco",['ChemBioChem'],15
214,"Proteomic analysis of cell cycle progression in asynchronous cultures, including mitotic subphases, using PRIMMUS",10.7554/eLife.27574,2017-04-09,University of Dundee,[],20
217,ETV4 And AP1 Transcription Factors Form Multivalent Interactions With Three Sites On The MED25 Activator-Interacting Domain,10.1016/j.jmb.2017.06.024,2017-04-11,University of Utah,['Journal of Molecular Biology'],15
218,Environmental cystine drives glutamine anaplerosis and sensitizes cells to glutaminase inhibition,10.7554/eLife.27713,2017-04-11,Massachusetts Institute of Technology,[],75
219,Chaperonin facilitates protein folding by avoiding polypeptide collapse,10.1093/jb/mvy061,2017-04-11,Kyoto Sangyo University,[],0
221,Akt regulation of glycolysis mediates bioenergetic stability in epithelial cells,10.7554/eLife.27293,2017-04-11,"University of California, Davis",[],10
