,title,published
110,Multispot single-molecule FRET: high-throughput analysis of freely diffusing molecules,10.1371/journal.pone.0175766
112,Asymmetric adhesion of rod-shaped bacteria controls microcolony morphogenesis,10.1038/s41467-018-03446-y
114,Compaction of Duplex Nucleic Acids upon Native Electrospray Mass Spectrometry,10.1021/acscentsci.7b00084
115,Focus: The interface between data collection and data processing in cryo-EM,10.1016/j.jsb.2017.03.007
118,Logistic proliferation of cells in scratch assays is delayed,10.1007/s11538-017-0267-4
119,Free energy calculations suggest a mechanism for Na+/K+-ATPase ion selectivity,10.1074/jbc.m117.779090
120,The Rosetta all-atom energy function for macromolecular modeling and design,10.1021/acs.jctc.7b00125
122,Active diffusion and advection in the Drosophila ooplasm result from the interplay of the actin and microtubule cytoskeletons,10.1038/s41467-017-01414-6
123,Small teams of myosin Vc coordinate their stepping for efficient cargo transport on actin bundles,10.1074/jbc.M117.780791
124,Small teams of myosin Vc coordinate their stepping for efficient cargo transport on actin bundles,10.1074/jbc.M117.780791
125,Polarity sensitive probes for super resolution STED microscopy,10.1016/j.bpj.2017.06.050
128,Harnessing optogenetics to probe sub-cellular mechanics,10.1038/ncomms15817
131,Dynactin has two antagonistic regulatory domains and exerts opposing effects on dynein motility,10.1371/journal.pone.0183672
132,An allosteric theory of transcription factor induction,10.1016/j.cels.2018.02.004
134,Dynactin has two antagonistic regulatory domains and exerts opposing effects on dynein motility,10.1371/journal.pone.0183672
135,RNA Stores Tau Reversibly in Complex Coacervates,10.1371/journal.pbio.2002183
136,Distorted Biologic Mechanisms in Evolution and Model Extrapolation,10.1007/s00239-017-9823-7
139,Signaling architectures that transmit unidirectional information despite retroactivity,10.1016/j.bpj.2017.06.019
140,Logistic proliferation of cells in scratch assays is delayed,10.1007/s11538-017-0267-4
142,Image processing techniques for high-resolution structure determination from badly ordered 2D crystals,10.1016/j.jsb.2018.03.013
143,Rational design of proteins that exchange on functional timescales,10.1038/nchembio.2503
144,Direct visualization of how Actin Depolymerizing Factor’s filament severing and depolymerization synergizes with Capping Protein's &quot;monomer funneling&quot; to promote rapid polarized growth of actin filaments,10.1016/j.cub.2017.05.036
145,TRPV1 activation relies on hydration/dehydration of nonpolar cavities,10.1021/acs.jpclett.7b03396
146,The molecular weight of NaYF4:RE photonic up-conversion nanoparticles,10.1038/s41598-018-19415-w
148,Stochastic Protein Labeling Enables Long-term Single Molecule Observation In Vivo,10.1073/pnas.1713895115
149,Sinusoidal Voltage Protocols For Rapid Characterization Of Ion Channel Kinetics,10.1113/JP275733
150,Calcium oscillations in wounded fibroblast monolayers are spatially regulated through substrate mechanics,10.1088/1478-3975/aa6b67
151,Deletion of the short N-terminal extension in OCP reveals the main site for the FRP binding,10.1002/1873-3468.12680
152,The physics of osmotic pressure,10.1088/1361-6404/aa7fd3
153,Focus: The interface between data collection and data processing in cryo-EM,10.1016/j.jsb.2017.03.007
154,Multi-scale computational study of the mechanical regulation of cell mitotic rounding in epithelia,10.1371/journal.pcbi.1005533
155,Small teams of myosin Vc coordinate their stepping for efficient cargo transport on actin bundles,10.1074/jbc.M117.780791
156,Long-Term Imaging of Cellular Forces with High Precision by Elastic Resonator Interference Stress Microscopy,10.1038/ncb3561
158,Molecular Counting with Localization Microscopy: A Bayesian estimate based on single fluorophore statistics,10.1016/j.bpj.2017.03.020
160,Continuum approximations for lattice-free multi-species models of collective cell migration,10.1016/j.jtbi.2017.04.009
161,On the mechanism of long-range alignment order of fibroblasts,10.1073/pnas.1707210114
163,"De novo BK channel mutation causes epilepsy by regulating voltage-dependent, but not calcium-dependent, activation",10.1038/s41431-017-0073-3
164,A Critical-like Collective State Leads to Long-range Cell Communication in Dictyostelium discoideum Aggregation,10.1371/journal.pbio.1002602
165,Dynamical Scaling And Phase Coexistence In Topologically-Constrained DNA Melting,10.1103/PhysRevLett.119.118002
166,Physiological Preparation Of Hair Cells From The Sacculus Of The American Bullfrog (Rana catesbeiana),10.3791/55380
168,Iterative model-based density improvement yields better atomic structures from cryo-EM maps,10.7554/elife.27131
169,Real-time observation of flexible domain movements in Cas9,10.15252/embj.201796941
170,A Conformational Checkpoint Between DNA Binding And Cleavage By CRISPR-Cas9,10.1126/sciadv.aao0027
173,Ultrasensitivity and Fluctuations in the Barkai-Leibler Model of Chemotaxis Receptors in Escherichia coli,10.1371/journal.pone.0175309
175,Revealing The Cell-Material Interface With Nanometer Resolution By FIB-SEM,10.1021/acsnano.7b03494
177,Intracellular Passage Of Na+ In An Active State G Protein Coupled Receptor,10.1016/j.str.2017.11.013
179,Thermodynamic Projection Of The Antibody Interaction Network: The Binding Fountain Energy Landscape,10.12688/f1000research.12614.1
181,Transcription factor clusters regulate genes in eukaryotic cells,10.7554/eLife.27451
184,Formation Of Dominant Mode By Evolution In Biological Systems,10.1103/PhysRevE.97.042410
185,Force Generation By Polymerizing Filaments Revisited: Diffusive Interaction Leads To Nonlinear Force-Number Scaling,10.1038/s41598-018-20259-7
186,"Large, long range tensile forces drive convergence during Xenopus blastopore closure and body axis elongation",10.7554/elife.26944
187,A Versatile Compressed Sensing Scheme For Faster And Less Phototoxic 3D Fluorescence Microscopy,10.1364/OE.25.013668
188,Structural Modeling of Chromatin Integrates Genome Features and Reveals Chromosome Folding Principle,10.1038/s41598-017-02923-6
189,Mechanisms of generation of membrane potential resonance in a neuron with multiple resonant ionic currents,10.1371/journal.pcbi.1005565
190,Slow conformational exchange and overall rocking motion in ubiquitin protein crystals,10.1038/s41467-017-00165-8
191,Comparison Of NMR And Crystal Structures Of Membrane Proteins And Computational Refinement To Improve Model Quality,10.1002/prot.25402
192,The Unique Protein-To-Protein Carotenoid Transfer Mechanism,10.1016/j.bpj.2017.06.002
194,Optogenetic Control of RhoA Reveals Zyxin-mediated Elasticity of Stress Fibers,10.1038/ncomms15817
195,A model for autonomous and non-autonomous effects of the Hippo pathway in Drosophila,10.1016/j.bpj.2018.07.002
196,A multi-model approach to assessing local and global cryo-EM map quality,10.1016/j.str.2018.10.003
198,Matrix Production In Bacillus subtilis Biofilms Is Localized To A Propagating Front,10.1016/j.bpj.2018.02.002
199,Optimal Information Transfer In Enzymatic Networks: A Field Theoretic Formulation,10.1103/PhysRevE.96.012406
200,Structure-based analysis of CysZ-mediated cellular uptake of sulfate,10.7554/elife.27829
201,Quantifying the efficacy of first aid treatments for burn injuries using mathematical modelling and in vivo porcine experiments,10.1038/s41598-017-11390-y
202,Gradients Of Rac1 Nanoclusters Support Spatial Patterns Of Rac1 Signaling,10.1016/j.celrep.2017.10.069
203,Structure-based analysis of CysZ-mediated cellular uptake of sulfate,10.7554/elife.27829
204,Gradients Of Rac1 Nanoclusters Support Spatial Patterns Of Rac1 Signaling,10.1016/j.celrep.2017.10.069
205,Structural Basis Of STAT2 Recognition By IRF9 Reveals Molecular Insights Into ISGF3 Function,10.1073/pnas.1718426115
206,Modeling Of Biomechanics And Biorheology Of Red Blood Cells In Type-2 Diabetes Mellitus,10.1016/j.bpj.2017.06.015
211,Nanoscale Dynamics of Centromere Nucleosomes and the Critical Roles of CENP-A,10.1093/nar/gkx933
212,DNA Methylation Landscape Reflects the Spatial Organization of Chromatin in Different Cells,10.1016/j.bpj.2017.08.019
213,Self-Organisation And Positioning Of Bacterial Protein Clusters,10.1038/nphys4155
215,The N-terminal domain of ALS-linked TDP-43 assembles without misfolding,10.1002/anie.201706769
216,TRPV1 activation relies on hydration/dehydration of nonpolar cavities,10.1021/acs.jpclett.7b03396
218,Two Loci Single Particle Trajectories Analysis: Constructing A First Passage Time Statistics Of Local Chromatin Exploration,10.1038/s41598-017-10842-9
219,RNA Stores Tau Reversibly in Complex Coacervates,10.1371/journal.pbio.2002183
220,Two Loci Single Particle Trajectories Analysis: Constructing A First Passage Time Statistics Of Local Chromatin Exploration,10.1038/s41598-017-10842-9
221,Facilitated Dissociation Of Transcription Factors From Single DNA Binding Sites,10.1073/pnas.1701884114
222,Millisecond Dynamics Of BTK Reveal Kinome-Wide Conformational Plasticity Within The Apo Kinase Domain,10.1038/s41598-017-10697-0
223,Pushing The Limits Of Detection Of Weak Binding Using Fragment Based Drug Discovery: Identification Of New Cyclophilin Binders,10.1016/j.jmb.2017.06.016
224,Torque and buckling in stretched intertwined double-helix DNAs,10.1103/PhysRevE.95.052401
225,Epigenetic Transitions And Knotted Solitons In Stretched Chromatin,10.1038/s41598-017-13916-w
226,3D Single-Molecule Super-Resolution Microscopy With A Tilted Light Sheet,10.1038/s41467-017-02563-4
227,Transient Thresholding: A Mechanism Enabling Non-Cooperative Transcriptional Circuitry To Form A Switch,10.1016/j.bpj.2017.05.002
228,A Systematic Analysis Of Atomic Protein-Ligand Interactions In The PDB,10.1039/c7md00381a
229,Boosting The Localization Precision Of dSTORM By Biocompatible Metal-Dielectric Coated Glass Coverslips,10.1038/s41377-018-0104-z
232,Gaussian Curvature Directs The Distribution Of Spontaneous Curvature On Bilayer Membrane Necks,10.1039/c8sm00035b
234,Response-Time Behaviors Of Intercellular Communication Network Motifs,10.1016/j.cels.2018.01.016
235,The Condensin Complex Is A Mechanochemical Motor That Translocates Along DNA,10.1126/science.aan6516
236,Conformational Dynamics In TRPV1 Channels Reported By An Encoded Coumarin Amino Acid,10.7554/eLife.28626
237,Defocus and magnification dependent variation of TEM image astigmatism,10.1038/s41598-017-18820-x
239,The AWSEM-Amylometer: Predicting Amyloid Propensity And Fibril Topology Using An Optimized Folding Landscape Model,10.1021/acschemneuro.7b00436
240,A Liquid Chromatography-Mass Spectrometry Method For Screening Disulfide Tethering Fragments,10.1177/2472555217732072
241,A Combined Use Of Intravoxel Incoherent Motion MRI Parameters Can Differentiate Early Stage Hepatitis-B Fibrotic Livers From Healthy Livers,10.1177/2472630317717049
243,Cryo-EM Of A Marseilleviridae Virus Particle Reveals A Large Internal Microassembly,10.1016/j.virol.2018.01.021
244,Control Of AMPA Receptor Activity By The Extracellular Loops Of Auxiliary Proteins,10.7554/eLife.28680
245,Cooperative Accumulation Of Dynein-Dynactin At Microtubule Minus-Ends Drives Microtubule Network Reorganization,10.1016/j.devcel.2017.12.023
246,Control Of AMPA Receptor Activity By The Extracellular Loops Of Auxiliary Proteins,10.7554/eLife.28680
247,Label-free high-resolution 3-D imaging of gold nanoparticles inside live cells using optical diffraction tomography,10.1016/j.ymeth.2017.07.008
248,"Molecular Dynamics Simulations Of Membrane Deformation Induced By The Amphiphilic Helices Of Epsin, Sar1p And Arf1",10.1088/1674-1056/27/3/038703
249,"Disruption Of Ankyrin B And Caveolin-1 Interaction Sites Alters Na+,K+-ATPase Lateral Diffusion In HEK293 Cell Plasma Membranes",10.1016/j.bpj.2017.08.053
251,Filament Rigidity And Connectivity Tune The Deformation Modes Of Active Biopolymer Networks,10.1073/pnas.1708625114
252,A kinetically-driven free exchange mechanism of EmrE antiport sacrifices coupling efficiency in favor of promiscuity,10.1073/pnas.1708671114
253,Achieving Better Than 3 A Resolution By Single Particle Cryo-EM At 200 keV,10.1038/nmeth.4461
254,Sequential Eviction Of Crowded Nucleoprotein Complexes By The RecBCD Molecular Motor,10.1073/pnas.1701368114
255,A Combined Use Of Intravoxel Incoherent Motion MRI Parameters Can Differentiate Early Stage Hepatitis-B Fibrotic Livers From Healthy Livers,10.1177/2472630317717049
256,Filament Rigidity And Connectivity Tune The Deformation Modes Of Active Biopolymer Networks,10.1073/pnas.1708625114
257,Detailed Analyses Of Stall Force Generation In Mycoplasma mobile Gliding,10.1016/j.bpj.2018.01.029
258,Increasing the time resolution of single-molecule experiments with Bayesian inference,10.1016/j.bpj.2017.11.3741
261,Cell-Accurate Optical Mapping Across The Entire Developing Heart,10.7554/eLife.28307
262,Both Lipopolysaccharide And Lipoteichoic Acids Potently Induce Anomalous Fibrin Amyloid Formation: Assessment With Novel Amytracker&trade; Stains,10.1098/rsif.2017.0941
264,On The Use Of The Experimentally Determined Enzyme Inhibition Constant As A Measure Of Absolute Binding Affinity,10.1016/j.bbrc.2017.05.168
265,Crowding-induced transcriptional bursts dictate nucleosome and polymerase density profiles along genes,10.1093/nar/gkx513
267,Mesoscopic Model For DNA G-Quadruplex Unfolding,10.1038/s41598-017-10849-2
268,Detection Of Human Disease Conditions By Single-Cell Morpho-Rheological Phenotyping Of Whole Blood,10.7554/elife.29213
269,Slow conformational exchange and overall rocking motion in ubiquitin protein crystals,10.1038/s41467-017-00165-8
270,Thermodynamic Projection Of The Antibody Interaction Network: The Fountain Energy Landscape Of Binding,10.12688/f1000research.12614.1
272,Compartmental and spatial rule-based modeling with Virtual cell (VCell),10.1016/j.bpj.2017.08.022
274,Stochastic Protein Labeling Enables Long-Term Single Molecule Observation in vivo,10.1073/pnas.1713895115
275,A Bayesian computational approach to explore the optimal duration of a cell proliferation assay,10.1007/s11538-017-0311-4
276,Measuring Protein Binding to Lipid Vesicles by Fluorescence Cross-Correlation Spectroscopy,10.1016/j.bpj.2017.06.023
277,Polarization effects and the calibration of a donut beam axial optical tweezers for single-molecule force spectroscopy,10.1371/journal.pone.0193402
280,Near-Atomic Resolution Structure Determination in Over-Focus with Volta Phase Plate by Cs-corrected Cryo-EM,10.1016/j.str.2017.08.008
282,Challenges in estimating the motility parameters of single processive motor proteins,10.1016/j.bpj.2017.09.024
284,A Bayesian computational approach to explore the optimal duration of a cell proliferation assay,10.1007/s11538-017-0311-4
285,Sperm chemotaxis is driven by the slope of the chemoattractant concentration field,10.7554/eLife.50532
286,Visualizing Long-Term Single-Molecule Dynamics in vivo by Stochastic Protein Labeling,10.1073/pnas.1713895115
287,Predicting DNA Hybridization Kinetics from Sequence,10.1038/nchem.2877
288,Structural-mechanical remodelling of GDP-microtubules by kinesin,10.1038/s41565-018-0084-4
289,eIF4A is stimulated by the pre-initiation complex and enhances recruitment of mRNAs regardless of structural complexity,10.7554/elife.31476
290,Pushing The Limits Of Detection Of Weak Binding Using Fragment Based Drug Discovery: Identification Of New Cyclophilin Binders,10.1016/j.jmb.2017.06.016
291,Hemodynamic forces can be accurately measured in vivo with optical tweezers,10.1091/mbc.E17-06-0382
292,Real-time detection of condensin-driven DNA compaction reveals a multistep binding mechanism,10.15252/embj.201797596
293,Triazavirine supramolecular complexes as modifiers of the peptide oligomeric structure,10.1080/07391102.2017.1367329
294,Triazavirine supramolecular complexes as modifiers of the peptide oligomeric structure,10.1080/07391102.2017.1367329
297,Impact of domain knowledge on blinded predictions of binding energies by alchemical free energy calculations,10.1007/s10822-017-0083-9
298,Bridging the dynamics and organization of chromatin domains by mathematical modeling,10.1080/19491034.2017.1313937
299,Partitioning and Enhanced Self-Assembly of Actin in Polypeptide Coacervates,10.1016/j.bpj.2018.02.020
301,Modeling the Mechanism of CLN025Beta-Hairpin Formation,10.1063/1.4993207
302,Impact of fluorescent protein fusions on the bacterial flagellar motor,10.1038/s41598-017-11241-w
304,Mechanical mismatch between Ras transformed and untransformed epithelial cells.,10.1039/c7sm01396e
306,Molecular chaperones maximize the native state yield per unit time by driving substrates out of equilibrium,10.1073/pnas.1712962114
309,Modeling the Mechanism of CLN025Beta-Hairpin Formation,10.1063/1.4993207
312,Coupling of replisome movement with nucleosome dynamics can contribute to the parent-daughter information transfer,10.1093/nar/gky207
313,Spatiotemporal relationships defining the adaptive gating of the bacterial mechanosensitive channel MscS,10.1007/s00249-018-1303-5
314,Distinct Solubility and Cytotoxicity Regimes of Paclitaxel-Loaded Cationic Liposomes at Low and High Drug Content Revealed by Kinetic Phase Behavior and Cancer Cell Viability Studies,10.1016/j.biomaterials.2017.08.026
316,Binding Thermodynamics and Kinetics Calculations Using Chemical Host and Guest: A Comprehensive Picture of Molecular Recognition,10.1021/acs.jctc.7b00899
318,Tuning transcriptional regulation through signaling: A predictive theory of allosteric induction,10.1016/j.cels.2018.02.004
319,Cofilin Drives Rapid Turnover and Fluidization of Entangled F-actin,10.1073/pnas.1818808116
320,48-spot single-molecule FRET setup with periodic acceptor excitation,10.1063/1.5000742
321,Competition of Charge-Mediated and Specific Binding by Peptide-Tagged Cationic Liposome-DNA Nanoparticles In Vitro and In Vivo,10.1016/j.biomaterials.2018.02.052
322,Diffusion as a ruler: modeling kinesin diffusion as a length sensor for intraflagellar transport,10.1016/j.bpj.2017.11.3784
323,Partial Unwinding of Transmembrane Helices Facilitates Alternating Access in the Neurotransmitter:Sodium Symporter LeuT,10.1126/sciadv.aar6179
324,Diffusion as a ruler: modeling kinesin diffusion as a length sensor for intraflagellar transport,10.1016/j.bpj.2017.11.3784
325,Both Lipopolysaccharide And Lipoteichoic Acids Potently Induce Anomalous Fibrin Amyloid Formation: Assessment With Novel Amytracker&trade; Stains,10.1098/rsif.2017.0941
326,OpenMM 7: Rapid Development of High Performance Algorithms for Molecular Dynamics,10.1371/journal.pcbi.1005659
327,The role of traction in membrane curvature generation,10.1091/mbc.e18-02-0087
328,Pivot-and-bond model explains microtubule bundle formation,10.1103/PhysRevE.100.012403
329,Activation and desensitization mechanism of AMPA receptor-TARP complex by cryo-EM,10.1016/j.cell.2017.07.045
330,Transferable tICA-Metadynamics: Efficient sampling of protein mutants by transferring information from the wild type’s Markov state model,10.1021/acs.jpcb.7b06896
331,NanoJ-SQUIRREL: quantitative mapping and minimisation of super-resolution optical imaging artefacts,10.1038/nmeth.4605
332,A Fluorogenic Array Tag for Temporally Unlimited Single Molecule Tracking,10.1038/s41589-019-0241-6
333,Single-cell absolute contact probability detection reveals that chromosomes are organized by modulated stochasticity,10.1038/s41467-017-01962-x
334,Activation and desensitization mechanism of AMPA receptor-TARP complex by cryo-EM,10.1016/j.cell.2017.07.045
336,Pavement cells and the topology puzzle,10.1242/dev.157073
338,A computational modelling framework to quantify the effects of passaging cell lines,10.1371/journal.pone.0181941
340,On the mechanism of long-range alignment order of fibroblasts,10.1073/pnas.1707210114
341,Traction force screening enabled by compliant PDMS elastomers,10.1016/j.bpj.2018.02.045
342,Immature HIV-1 Lattice Assembly Dynamics are Regulated by Scaffolding from Nucleic Acid and the Plasma Membrane,10.1073/pnas.1706600114
343,HtrA1 activation is driven by an allosteric mechanism of inter-monomer communication,10.1038/s41598-017-14208-z
344,Mechanism of genome interrogation: How CRISPR RNA-guided Cas9 proteins locate specific targets on DNA,10.1016/j.bpj.2017.08.013
347,Cytosolic proteins can exploit membrane localization to trigger functional assembly,10.1371/journal.pcbi.1006031
348,"Conformational changes in Arp2/3 complex induced by ATP, WASp-VCA and actin filaments",10.1073/pnas.1717594115
349,Collective membrane dynamics emerging from curvature-dependent spatial coupling,10.1038/s41467-017-02469-1
350,NanoJ-SQUIRREL: quantitative mapping and minimisation of super-resolution optical imaging artefacts,10.1038/nmeth.4605
351,"A Mixed Periodic Paralysis & Myotonia Mutant, P1158S, Imparts pH Sensitivity in Skeletal Muscle Voltage-gated Sodium Channels",10.1038/s41598-018-24719-y
352,OPUS-CSF: A C-atom-based Scoring Function for Ranking Protein Structural Models,10.1002/pro.3327
353,Principles of transcription factor traffic on folded chromatin,10.1038/s41467-018-04130-x
355,"Molecular Dynamics Simulations Of Membrane Deformation Induced By The Amphiphilic Helices Of Epsin, Sar1p And Arf1",10.1088/1674-1056/27/3/038703
356,Detailed Analyses Of Stall Force Generation In Mycoplasma mobile Gliding,10.1016/j.bpj.2018.01.029
357,Quantifying cell adhesion dynamics using a custom-made fluid shear device: experiments and model,10.1088/1478-3975/aabc66
358,Intracellular Passage Of Na+ In An Active State G Protein Coupled Receptor,10.1016/j.str.2017.11.013
361,Dynamic clustering of dynamin-amphiphysin rings regulates membrane constriction and fission coupled with GTP hydrolysis,10.7554/eLife.30246
362,The photocycle of orange carotenoid protein conceals distinct intermediates and asynchronous changes in the carotenoid and protein components,10.1038/s41598-017-15520-4
363,Conformational dynamics of Cas9 governing DNA cleavage revealed by single molecule FRET,10.1016/j.celrep.2017.12.048
365,Binding Thermodynamics and Kinetics Calculations Using Chemical Host and Guest: A Comprehensive Picture of Molecular Recognition,10.1021/acs.jctc.7b00899
