,title,published,date,author_corresponding_institution,journal,citation_count
33,Multispot single-molecule FRET: high-throughput analysis of freely diffusing molecules,10.1371/journal.pone.0175766,2016-11-04,University of California Los Angeles,['PLoS ONE'],17
34,Histone code and higher-order chromatin folding: A hypothesis,10.18547/gcb.2017.vol3.iss2.e41,2016-11-04,"Department of Embryology, Carnegie Institution for Science, Baltimore, MD 21218, USA",['Genomics Comput Biol'],4
35,"Gentle, fast and effective crystal soaking by acoustic dispensing",10.1107/S205979831700331X,2016-11-04,Diamond Light Source,"['Acta Cryst Sect D Struct Biol', 'Acta Crystallogr D Struct Biol', 'Acta Cryst D Struct Biol', 'Acta Cryst D Biol Cryst', 'Acta Cryst D', 'Acta Crystallogr Sect D', 'Acta Crystallogr D Biol Crystallogr', 'Acta Cryst Sect D', 'Acta Crystallogr D', 'Acta Crystallogr Sect D Struct Biol']",24
36,A looping-based model for quenching repression,10.1371/journal.pcbi.1005337,2016-11-06,Technion Israel Institute of Technology,['PLoS Comput Biol'],1
37,Flowtrace: simple visualization of coherent structures in biological fluid flows,10.1242/jeb.162511,2016-11-07,Stanford,['J Exp Biol'],13
38,Bridging microscopic and macroscopic mechanisms of p53-MDM2 binding using molecular simulations and kinetic network models,10.1016/j.bpj.2017.07.009,2016-11-07,Temple University,['Biophysical Journal'],34
39,A Critical-like Collective State Leads to Long-range Cell Communication in Dictyostelium discoideum Aggregation,10.1371/journal.pbio.1002602,2016-11-08,Imperial College London,['PLoS Biol'],14
40,Balance of microtubule stiffness and cortical tension determines the size of blood cells with marginal band across species,10.1073/pnas.1618041114,2016-11-09,EMBL,['Proc Natl Acad Sci USA'],15
41,Computing structure-based lipid accessibility of membrane proteins with mp_lipid_acc in RosettaMP,10.1186/s12859-017-1541-z,2016-11-10,Simons Foundation / NYU,['BMC Bioinformatics'],8
42,Refractive index tomograms and dynamic membrane fluctuations of red blood cells from patients with diabetes mellitus,10.1038/s41598-017-01036-4,2016-11-14,KAIST,['Sci Rep'],36
43,Measuring the sequence-affinity landscape of antibodies with massively parallel titration curves,10.7554/eLife.23156,2016-11-15,Ecole normale superieure,[],26
44,Cell wall remodeling drives engulfment during Bacillus subtilis sporulation,10.7554/eLife.18657,2016-11-15,Imperial College London,[],19
46,Cryo-EM structure of haemoglobin at 3.2 A determined with the Volta phase plate,10.1038/ncomms16099,2016-11-15,Max Planck Institute of Biochemistry,['Nat Commun'],124
47,How fast can fast-folding proteins autonomously fold in silico?,10.1016/j.bbrc.2017.08.010,2016-11-21,Mayo Clinic,['Biochemical and Biophysical Research Communications'],4
48,Raoult’s law revisited: accurately predicting equilibrium relative humidity points for humidity control experiments,10.1107/S1600576717003636,2016-11-22,European Molecular Biology Laboratory,"['J Appl Cryst', 'J Appl Crystallogr']",5
49,In vivo imaging of coral tissue and skeleton with optical coherence tomography,10.1098/rsif.2016.1003,2016-11-22,"Marine Biological Section, Department of Biology, University of Copenhagen",['J. R. Soc. Interface'],15
50,Probing cytoskeletal modulation of passive and active intracellular dynamics using nanobody-functionalized quantum dots,10.1038/ncomms14772,2016-11-23,Utrecht University,['Nat Commun'],36
51,Histone code and higher-order chromatin folding: A hypothesis,10.18547/gcb.2017.vol3.iss2.e41,2016-11-24,"Department of Embryology, Carnegie Institution for Science, Baltimore, MD 21218, USA",['Genomics Comput Biol'],4
52,Analyzing Single Molecule Localization MicroscopyData Using Cubic Splines,10.1038/s41598-017-00622-w,2016-11-28,Harvard University,['Sci Rep'],25
53,Voltage-dependent K+ Channels Improve the Energy Efficiency of Signalling in Blowfly Photoreceptors,10.1098/rsif.2016.0938,2016-11-29,University of Cambridge,['J. R. Soc. Interface'],2
54,Monolayer-crystal streptavidin support films provide an internal standard of cryo-EM image quality,10.1016/j.jsb.2017.02.009,2016-12-03,Lawrence Berkeley National Laboratory,['Journal of Structural Biology'],18
56,OpenMM 7: Rapid Development of High Performance Algorithms for Molecular Dynamics,10.1371/journal.pcbi.1005659,2016-12-06,Stanford University,['PLoS Comput Biol'],228
57,Melittin-induced alterations in morphology and deformability of human red blood cells using quantitative phase imaging techniques,10.1038/s41598-017-08675-7,2016-12-06,KAIST,['Sci Rep'],19
58,Markov modeling reveals novel intracellular modulation of the human TREK-2 selectivity filter,10.1038/s41598-017-00256-y,2016-12-07,Stanford University,['Sci Rep'],4
59,Decoding Single Molecule Time Traces with Dynamic Disorder,10.1371/journal.pcbi.1005286,2016-12-08,Korea Institute for Advanced Study,['PLoS Comput Biol'],2
60,"Co-operation, competition and crowding: a discrete framework linking Allee kinetics, nonlinear diffusion, shocks and sharp-fronted travelling waves",10.1038/srep42134,2016-12-08,QUT,['Sci Rep'],13
61,Predicting binding free energies: Frontiers and benchmarks,10.1146/annurev-biophys-070816-033654,2016-12-08,Departments of Pharmaceutical Sciences and Chemistry,['Annu. Rev. Biophys.'],96
63,Protein Collapse is Encoded in the Folded State Architecture,10.1039/c7sm00074j,2016-12-12,University of Texas at Austin,['Soft Matter'],18
66,CTCF and Cohesin Regulate Chromatin Loop Stability with Distinct Dynamics,10.7554/eLife.25776,2016-12-12,UC Berkeley,[],156
67,Charge influences substrate recognition and self-assembly of hydrophobic FG sequences,10.1016/j.bpj.2017.08.058,2016-12-12,Massachusetts Institute of Technology,['Biophysical Journal'],5
68,CTCF and Cohesin Regulate Chromatin Loop Stability with Distinct Dynamics,10.7554/eLife.25776,2016-12-13,UC Berkeley,[],156
71,Intensity-based axial localization approaches for multifocal plane microscopy,10.1364/OE.25.003394,2016-12-17,Texas A&M University,['Opt. Express'],4
72,Quantifying the Heat Dissipation from Molecular Motor’s Transport Properties in Nonequilibrium Steady States,10.1021/acs.jpclett.6b02657,2016-12-17,Korea Institute for Advanced Study,['J. Phys. Chem. Lett.'],21
73,Active Vertex Model for Cell-Resolution Description of Epithelial Tissue Mechanics,10.1371/journal.pcbi.1005569,2016-12-18,University of Dundee,['PLoS Comput Biol'],58
75,Single-enzyme approach predicts natural emergence of inhibitor-activator duality,10.1038/s41467-018-02995-6,2016-12-20,Harvard Medical School,['Nat Commun'],15
76,Non-equilibrium chromosome looping via molecular slip-links,10.1103/physrevlett.119.138101,2016-12-21,University of Edinburgh,['Phys. Rev. Lett.'],39
78,Design principles for robust vesiculation in clathrin-mediated endocytosis,10.1073/pnas.1617705114,2016-12-22,"University of California, San Diego",['Proc Natl Acad Sci USA'],69
79,Assembly of photoactive Orange Carotenoid Protein from its domains unravels a carotenoid shuttle mechanism,10.1007/s11120-017-0353-3,2016-12-24,Technical University of Berlin,['Photosynth Res'],29
80,Label-free high-resolution 3-D imaging of gold nanoparticles inside live cells using optical diffraction tomography,10.1016/j.ymeth.2017.07.008,2016-12-28,KAIST,['Methods'],6
81,Monitoring Microtubule Mechanical Vibrations via Optomechanical Coupling,10.1103/physreve.96.012404,2017-01-02,Institute of Science and technology,['Phys. Rev. E'],4
86,Retrieving chromatin patterns from deep sequencing data using correlation functions,10.1016/j.bpj.2017.01.001,2017-01-06,German Cancer Research Center (DKFZ) and Bioquant Center,['Biophysical Journal'],9
87,Active diffusion and advection in the Drosophila ooplasm result from the interplay of the actin and microtubule cytoskeletons,10.1038/s41467-017-01414-6,2017-01-06,University of Cambridge,['Nat Commun'],10
89,Structural landscape of base pairs containing post-transcriptional modifications in RNA,10.1261/rna.060749.117,2017-01-06,"International Institute of Information Technology, Hyderabad",['RNA'],12
90,"Accurate alignment between correlated light, cryo-light, and electron cryo-microscopy data using sample support features",10.1016/j.jsb.2017.11.001,2017-01-07,Sanford Burnham Prebys,['Journal of Structural Biology'],7
91,Active diffusion and advection in the Drosophila ooplasm result from the interplay of the actin and microtubule cytoskeletons,10.1038/s41467-017-01414-6,2017-01-09,University of Cambridge,['Nat Commun'],10
94,Temporal super-resolution in single-molecule experiments,10.1016/j.bpj.2017.11.3741,2017-01-12,"Dept. of Chemistry, Columbia University",['Biophysical Journal'],3
95,Investigations of human myosin VI targeting using optogenetically-controlled cargo loading,10.1073/pnas.1614716114,2017-01-12,University of Chicago,['Proc Natl Acad Sci USA'],7
96,Structural-mechanical remodelling of GDP-microtubules by kinesin,10.1038/s41565-018-0084-4,2017-01-17,Warwick University,['Nature Nanotech'],19
97,Tracking multiple genomic elements using correlative CRISPR imaging and sequential DNA FISH,10.1016/j.bpj.2017.01.032,2017-01-18,UCSF,['Biophysical Journal'],18
98,A new and accurate continuum description of moving fronts,10.1088/1367-2630/aa5bf5,2017-01-20,Queensland Univeristy of Technology,['New J. Phys.'],1
100,NODDI-DTI: extracting neurite orientation and dispersionparameters from a diffusion tensor,10.3389/fnins.2017.00720,2017-01-21,MPI for Human Cognitive and Brain Sciences,['Front. Neurosci.'],13
101,Monod-Wyman-Changeux Analysis of Ligand-Gated Ion Channel Mutants,10.1021/acs.jpcb.6b12672,2017-01-22,California Institute of Technology,['J. Phys. Chem. B'],2
104,RNA Gelation in Repeat Expansion Disorders,10.1038/nature22386,2017-01-23,University of California San Francisco,['Nature'],204
105,Elucidating interplay of speed and accuracy in biological error correction,10.1073/pnas.1614838114,2017-01-24,Rice University,['Proc Natl Acad Sci USA'],32
108,"Computing Osmotic Permeabilities of Aquaporins AQP4, AQP5, and GlpF from Near-Equilibrium Simulations",10.1016/j.bbamem.2017.04.022,2017-01-27,University of Texas San Antonio,['Biochimica et Biophysica Acta (BBA) - Biomembranes'],14
110,Multispot single-molecule FRET: high-throughput analysis of freely diffusing molecules,10.1371/journal.pone.0175766,2017-01-28,University of California Los Angeles,['PLoS ONE'],17
112,Asymmetric adhesion of rod-shaped bacteria controls microcolony morphogenesis,10.1038/s41467-018-03446-y,2017-01-31,"LPS, ENS",['Nat Commun'],22
114,Compaction of Duplex Nucleic Acids upon Native Electrospray Mass Spectrometry,10.1021/acscentsci.7b00084,2017-02-01,Inserm,['ACS Cent. Sci.'],37
115,Focus: The interface between data collection and data processing in cryo-EM,10.1016/j.jsb.2017.03.007,2017-02-03,University of Basel,['Journal of Structural Biology'],77
118,Logistic proliferation of cells in scratch assays is delayed,10.1007/s11538-017-0267-4,2017-02-05,Queensland Univeristy of Technology,['Bull Math Biol'],18
119,Free energy calculations suggest a mechanism for Na+/K+-ATPase ion selectivity,10.1074/jbc.m117.779090,2017-02-07,Temple University,['J. Biol. Chem.'],7
120,The Rosetta all-atom energy function for macromolecular modeling and design,10.1021/acs.jctc.7b00125,2017-02-07,Johns Hopkins University,['J. Chem. Theory Comput.'],173
122,Active diffusion and advection in the Drosophila ooplasm result from the interplay of the actin and microtubule cytoskeletons,10.1038/s41467-017-01414-6,2017-02-07,University of Cambridge,['Nat Commun'],10
123,Small teams of myosin Vc coordinate their stepping for efficient cargo transport on actin bundles,10.1074/jbc.M117.780791,2017-02-08,University of Vermont,['J. Biol. Chem.'],6
124,Small teams of myosin Vc coordinate their stepping for efficient cargo transport on actin bundles,10.1074/jbc.M117.780791,2017-02-09,University of Vermont,['J. Biol. Chem.'],6
125,Polarity sensitive probes for super resolution STED microscopy,10.1016/j.bpj.2017.06.050,2017-02-09,University of Oxford,['Biophysical Journal'],24
128,Harnessing optogenetics to probe sub-cellular mechanics,10.1038/ncomms15817,2017-02-17,University of Chicago,['Nat Commun'],40
131,Dynactin has two antagonistic regulatory domains and exerts opposing effects on dynein motility,10.1371/journal.pone.0183672,2017-02-22,The University of Tokyo,['PLoS ONE'],10
132,An allosteric theory of transcription factor induction,10.1016/j.cels.2018.02.004,2017-02-22,Caltech,['Cell Systems'],21
134,Dynactin has two antagonistic regulatory domains and exerts opposing effects on dynein motility,10.1371/journal.pone.0183672,2017-02-24,The University of Tokyo,['PLoS ONE'],10
135,RNA Stores Tau Reversibly in Complex Coacervates,10.1371/journal.pbio.2002183,2017-02-24,University of California Santa Barbara,['PLoS Biol'],74
136,Distorted Biologic Mechanisms in Evolution and Model Extrapolation,10.1007/s00239-017-9823-7,2017-02-25,PMQD GmbH,['J Mol Evol'],2
139,Signaling architectures that transmit unidirectional information despite retroactivity,10.1016/j.bpj.2017.06.019,2017-02-27,Massachusetts Institute of Technology,['Biophysical Journal'],8
140,Logistic proliferation of cells in scratch assays is delayed,10.1007/s11538-017-0267-4,2017-03-01,Queensland Univeristy of Technology,['Bull Math Biol'],18
142,Image processing techniques for high-resolution structure determination from badly ordered 2D crystals,10.1016/j.jsb.2018.03.013,2017-03-03,University of Basel,['Journal of Structural Biology'],4
143,Rational design of proteins that exchange on functional timescales,10.1038/nchembio.2503,2017-03-03,University of Ottawa,['Nat Chem Biol'],32
144,Direct visualization of how Actin Depolymerizing Factor’s filament severing and depolymerization synergizes with Capping Protein's &quot;monomer funneling&quot; to promote rapid polarized growth of actin filaments,10.1016/j.cub.2017.05.036,2017-03-06,I2BC-CNRS,['Current Biology'],27
145,TRPV1 activation relies on hydration/dehydration of nonpolar cavities,10.1021/acs.jpclett.7b03396,2017-03-06,Temple University,['J. Phys. Chem. Lett.'],19
146,The molecular weight of NaYF4:RE photonic up-conversion nanoparticles,10.1038/s41598-018-19415-w,2017-03-07,University of Leeds,['Sci Rep'],9
148,Stochastic Protein Labeling Enables Long-term Single Molecule Observation In Vivo,10.1073/pnas.1713895115,2017-03-13,"Janelia Research Campus, Howard Hughes Medical Institute",['Proc Natl Acad Sci USA'],19
149,Sinusoidal Voltage Protocols For Rapid Characterization Of Ion Channel Kinetics,10.1113/JP275733,2017-03-13,University of Nottingham,['J Physiol'],19
150,Calcium oscillations in wounded fibroblast monolayers are spatially regulated through substrate mechanics,10.1088/1478-3975/aa6b67,2017-03-13,Princeton University,['Phys. Biol.'],8
151,Deletion of the short N-terminal extension in OCP reveals the main site for the FRP binding,10.1002/1873-3468.12680,2017-03-13,Lomonosov Moscow State University,['FEBS Lett'],18
152,The physics of osmotic pressure,10.1088/1361-6404/aa7fd3,2017-03-14,University of Oxford,['Eur. J. Phys.'],2
153,Focus: The interface between data collection and data processing in cryo-EM,10.1016/j.jsb.2017.03.007,2017-03-17,University of Basel,['Journal of Structural Biology'],77
154,Multi-scale computational study of the mechanical regulation of cell mitotic rounding in epithelia,10.1371/journal.pcbi.1005533,2017-03-17,University of Notre Dame,['PLoS Comput Biol'],8
155,Small teams of myosin Vc coordinate their stepping for efficient cargo transport on actin bundles,10.1074/jbc.M117.780791,2017-03-18,University of Vermont,['J. Biol. Chem.'],6
156,Long-Term Imaging of Cellular Forces with High Precision by Elastic Resonator Interference Stress Microscopy,10.1038/ncb3561,2017-03-20,University of St Andrews,['Nat Cell Biol'],22
158,Molecular Counting with Localization Microscopy: A Bayesian estimate based on single fluorophore statistics,10.1016/j.bpj.2017.03.020,2017-03-22,University of Toronto,['Biophysical Journal'],9
160,Continuum approximations for lattice-free multi-species models of collective cell migration,10.1016/j.jtbi.2017.04.009,2017-03-22,Queensland Univeristy of Technology,['Journal of Theoretical Biology'],13
161,On the mechanism of long-range alignment order of fibroblasts,10.1073/pnas.1707210114,2017-03-23,"Center for Theoretical Biological Physics, Rice University",['Proc Natl Acad Sci USA'],12
163,"De novo BK channel mutation causes epilepsy by regulating voltage-dependent, but not calcium-dependent, activation",10.1038/s41431-017-0073-3,2017-03-25,Cleveland Clinic and Case Western Reserve University,['Eur J Hum Genet'],8
164,A Critical-like Collective State Leads to Long-range Cell Communication in Dictyostelium discoideum Aggregation,10.1371/journal.pbio.1002602,2017-03-26,Imperial College London,['PLoS Biol'],14
165,Dynamical Scaling And Phase Coexistence In Topologically-Constrained DNA Melting,10.1103/PhysRevLett.119.118002,2017-03-29,University of Edinburgh,['Phys. Rev. Lett.'],4
166,Physiological Preparation Of Hair Cells From The Sacculus Of The American Bullfrog (Rana catesbeiana),10.3791/55380,2017-03-29,The Rockefeller University,['JoVE'],1
168,Iterative model-based density improvement yields better atomic structures from cryo-EM maps,10.7554/elife.27131,2017-03-29,EMBL (European Molecular Biology Laboratory),[],55
169,Real-time observation of flexible domain movements in Cas9,10.15252/embj.201796941,2017-03-29,The University of Tokyo,['EMBO J'],15
170,A Conformational Checkpoint Between DNA Binding And Cleavage By CRISPR-Cas9,10.1126/sciadv.aao0027,2017-03-30,University of California Berkeley,['Sci. Adv.'],84
173,Ultrasensitivity and Fluctuations in the Barkai-Leibler Model of Chemotaxis Receptors in Escherichia coli,10.1371/journal.pone.0175309,2017-03-31,Indian Institute of Technology Madras,['PLoS ONE'],3
175,Revealing The Cell-Material Interface With Nanometer Resolution By FIB-SEM,10.1021/acsnano.7b03494,2017-04-04,Stanford University,['ACS Nano'],59
177,Intracellular Passage Of Na+ In An Active State G Protein Coupled Receptor,10.1016/j.str.2017.11.013,2017-04-05,Dundee University,['Structure'],33
179,Thermodynamic Projection Of The Antibody Interaction Network: The Binding Fountain Energy Landscape,10.12688/f1000research.12614.1,2017-04-05,Diagnosticum Zrt,['F1000Res'],1
181,Transcription factor clusters regulate genes in eukaryotic cells,10.7554/eLife.27451,2017-04-06,University of York,[],26
184,Formation Of Dominant Mode By Evolution In Biological Systems,10.1103/PhysRevE.97.042410,2017-04-07,University of Tokyo,['Phys. Rev. E'],7
185,Force Generation By Polymerizing Filaments Revisited: Diffusive Interaction Leads To Nonlinear Force-Number Scaling,10.1038/s41598-018-20259-7,2017-04-08,Indian Institute of Technology Madras,['Sci Rep'],5
186,"Large, long range tensile forces drive convergence during Xenopus blastopore closure and body axis elongation",10.7554/elife.26944,2017-04-10,University of Virginia,[],15
187,A Versatile Compressed Sensing Scheme For Faster And Less Phototoxic 3D Fluorescence Microscopy,10.1364/OE.25.013668,2017-04-10,UC Berkeley,['Opt. Express'],4
188,Structural Modeling of Chromatin Integrates Genome Features and Reveals Chromosome Folding Principle,10.1038/s41598-017-02923-6,2017-04-12,Peking University,['Sci Rep'],9
189,Mechanisms of generation of membrane potential resonance in a neuron with multiple resonant ionic currents,10.1371/journal.pcbi.1005565,2017-04-12,New Jersey Institute of Technology,['PLoS Comput Biol'],13
190,Slow conformational exchange and overall rocking motion in ubiquitin protein crystals,10.1038/s41467-017-00165-8,2017-04-12,Institut de Biologie Structurale Grenoble,['Nat Commun'],29
191,Comparison Of NMR And Crystal Structures Of Membrane Proteins And Computational Refinement To Improve Model Quality,10.1002/prot.25402,2017-04-13,Simons Foundation / NYU,['Proteins'],3
192,The Unique Protein-To-Protein Carotenoid Transfer Mechanism,10.1016/j.bpj.2017.06.002,2017-04-13,Lomonosov Moscow State University,['Biophysical Journal'],18
194,Optogenetic Control of RhoA Reveals Zyxin-mediated Elasticity of Stress Fibers,10.1038/ncomms15817,2017-04-14,University of Chicago,['Nat Commun'],40
195,A model for autonomous and non-autonomous effects of the Hippo pathway in Drosophila,10.1016/j.bpj.2018.07.002,2017-04-17,University of Minnesota,['Biophysical Journal'],4
196,A multi-model approach to assessing local and global cryo-EM map quality,10.1016/j.str.2018.10.003,2017-04-19,The Scripps Research Institute,['Structure'],21
198,Matrix Production In Bacillus subtilis Biofilms Is Localized To A Propagating Front,10.1016/j.bpj.2018.02.002,2017-04-23,Harvard University,['Biophysical Journal'],7
199,Optimal Information Transfer In Enzymatic Networks: A Field Theoretic Formulation,10.1103/PhysRevE.96.012406,2017-04-24,"Department of Chemistry, The University of Texas at Austin",['Phys. Rev. E'],4
200,Structure-based analysis of CysZ-mediated cellular uptake of sulfate,10.7554/elife.27829,2017-04-26,Columbia University,[],0
201,Quantifying the efficacy of first aid treatments for burn injuries using mathematical modelling and in vivo porcine experiments,10.1038/s41598-017-11390-y,2017-04-27,Queensland Univeristy of Technology,['Sci Rep'],5
202,Gradients Of Rac1 Nanoclusters Support Spatial Patterns Of Rac1 Signaling,10.1016/j.celrep.2017.10.069,2017-04-27,"Institut Curie, UMR168, CNRS, PSL, UPMC, Paris",['Cell Reports'],35
203,Structure-based analysis of CysZ-mediated cellular uptake of sulfate,10.7554/elife.27829,2017-04-27,Columbia University,[],0
204,Gradients Of Rac1 Nanoclusters Support Spatial Patterns Of Rac1 Signaling,10.1016/j.celrep.2017.10.069,2017-04-28,"Institut Curie, UMR168, CNRS, PSL, UPMC, Paris",['Cell Reports'],35
205,Structural Basis Of STAT2 Recognition By IRF9 Reveals Molecular Insights Into ISGF3 Function,10.1073/pnas.1718426115,2017-04-28,EMBL,['Proc Natl Acad Sci USA'],18
206,Modeling Of Biomechanics And Biorheology Of Red Blood Cells In Type-2 Diabetes Mellitus,10.1016/j.bpj.2017.06.015,2017-04-28,Brown University,['Biophysical Journal'],14
211,Nanoscale Dynamics of Centromere Nucleosomes and the Critical Roles of CENP-A,10.1093/nar/gkx933,2017-05-03,University of Nebraska Medical Center,[],11
212,DNA Methylation Landscape Reflects the Spatial Organization of Chromatin in Different Cells,10.1016/j.bpj.2017.08.019,2017-05-03,Peking University,['Biophysical Journal'],11
213,Self-Organisation And Positioning Of Bacterial Protein Clusters,10.1038/nphys4155,2017-05-03,Max Planck Institute for Terrestrial Microbiology,['Nature Phys'],18
215,The N-terminal domain of ALS-linked TDP-43 assembles without misfolding,10.1002/anie.201706769,2017-05-04,Baylor College of Medicine,['Angew. Chem. Int. Ed.'],20
216,TRPV1 activation relies on hydration/dehydration of nonpolar cavities,10.1021/acs.jpclett.7b03396,2017-05-05,Temple University,['J. Phys. Chem. Lett.'],19
218,Two Loci Single Particle Trajectories Analysis: Constructing A First Passage Time Statistics Of Local Chromatin Exploration,10.1038/s41598-017-10842-9,2017-05-06,Ecole Normale Superieure,['Sci Rep'],3
219,RNA Stores Tau Reversibly in Complex Coacervates,10.1371/journal.pbio.2002183,2017-05-07,University of California Santa Barbara,['PLoS Biol'],74
220,Two Loci Single Particle Trajectories Analysis: Constructing A First Passage Time Statistics Of Local Chromatin Exploration,10.1038/s41598-017-10842-9,2017-05-09,Ecole Normale Superieure,['Sci Rep'],3
221,Facilitated Dissociation Of Transcription Factors From Single DNA Binding Sites,10.1073/pnas.1701884114,2017-05-09,Northwestern University,['Proc Natl Acad Sci USA'],29
222,Millisecond Dynamics Of BTK Reveal Kinome-Wide Conformational Plasticity Within The Apo Kinase Domain,10.1038/s41598-017-10697-0,2017-05-09,Stanford University,['Sci Rep'],23
223,Pushing The Limits Of Detection Of Weak Binding Using Fragment Based Drug Discovery: Identification Of New Cyclophilin Binders,10.1016/j.jmb.2017.06.016,2017-05-09,University of Edinburgh,['Journal of Molecular Biology'],6
224,Torque and buckling in stretched intertwined double-helix DNAs,10.1103/PhysRevE.95.052401,2017-05-09,Northwestern University,['Phys. Rev. E'],11
225,Epigenetic Transitions And Knotted Solitons In Stretched Chromatin,10.1038/s41598-017-13916-w,2017-05-09,University of Edinburgh,['Sci Rep'],9
226,3D Single-Molecule Super-Resolution Microscopy With A Tilted Light Sheet,10.1038/s41467-017-02563-4,2017-05-09,Stanford University,['Nat Commun'],48
227,Transient Thresholding: A Mechanism Enabling Non-Cooperative Transcriptional Circuitry To Form A Switch,10.1016/j.bpj.2017.05.002,2017-05-10,Gladstone Institutes,['Biophysical Journal'],8
228,A Systematic Analysis Of Atomic Protein-Ligand Interactions In The PDB,10.1039/c7md00381a,2017-05-10,"Structural Genomics Consortium, University of Toronto",['Med. Chem. Commun.'],45
229,Boosting The Localization Precision Of dSTORM By Biocompatible Metal-Dielectric Coated Glass Coverslips,10.1038/s41377-018-0104-z,2017-05-11,University of Wuerzburg,['Light Sci Appl'],1
232,Gaussian Curvature Directs The Distribution Of Spontaneous Curvature On Bilayer Membrane Necks,10.1039/c8sm00035b,2017-05-12,University of California San Diego,['Soft Matter'],10
234,Response-Time Behaviors Of Intercellular Communication Network Motifs,10.1016/j.cels.2018.01.016,2017-05-12,University of California San Francisco,['Cell Systems'],10
235,The Condensin Complex Is A Mechanochemical Motor That Translocates Along DNA,10.1126/science.aan6516,2017-05-13,Columbia University,['Science'],128
236,Conformational Dynamics In TRPV1 Channels Reported By An Encoded Coumarin Amino Acid,10.7554/eLife.28626,2017-05-14,"Physiology Department, Faculty of Medicine, Universidad Austral de Chile",[],9
237,Defocus and magnification dependent variation of TEM image astigmatism,10.1038/s41598-017-18820-x,2017-05-16,Purdue University,['Sci Rep'],0
